iter	Passed	Remaining
0	218	218328
1	221	110603
2	228	75772
3	231	57672
4	235	46901
5	244	40498
6	249	35415
7	255	31699
8	256	28232
9	261	25930
10	265	23879
11	267	22013
12	272	20699
13	275	19377
14	280	18437
15	285	17540
16	288	16656
17	293	16003
18	297	15347
19	300	14710
20	304	14180
21	308	13707
22	313	13311
23	315	12826
24	320	12492
25	323	12111
26	327	11811
27	329	11424
28	333	11167
29	336	10894
30	337	10559
31	343	10403
32	345	10131
33	348	9897
34	351	9703
35	355	9526
36	358	9319
37	362	9176
38	367	9047
39	372	8933
40	373	8738
41	376	8591
42	380	8465
43	382	8306
44	386	8205
45	390	8092
46	395	8019
47	402	7978
48	408	7927
49	411	78150	416	7749
5151	417	76152	423	7561
53	425	7459
54	427	7341
5555	431	72756	438	7255
57	442	7179
58	444	7089
59	450	7059
6060	456	70261	459	6955
62	462	6875
63	467	6831
6464	471	67765	476	6744
6666	482	6716767	486	6666868	492	6650
69	496	6595
70	500	6547171	507	6547272	512	6517373	519	6507474	524	6467575	530	6457676	537	6447777	544	6437
78	554	6468
79	557	6415
80	560	6364
81	564	6318
82	565	6251
83	570	6220
84	572	6158
85	573	6095
86	577	6057
87	578	5998
88	581	5948
89	582	5894
90	585	5852
91	590	5824
92	592	5781
93	596	5747
94	597	5695
95	599	5649
96	601	5597
97	603	5554
98	606	5517
99	609	5484
100	611	5447
101	618	5443
102	626	5457
103	630	5429
104	639	5452
105	642	5418
106	646	5393
107	648	5357
108	653	5343
109	661	5351
110	667	53411111	676	53611112	683	5362
113	687	5345
114	697	5367
115	704	5370
116	711	5367
117	712	5325
118	718	5316
119	725	5317
120	727	5285
121	730	5258
122	733	5232
123	737	5207
124	739	5178
125	743	5154
126	744	5119
127	759	5177
128	762	5148
129	767	5134
130	772	5123
131	774	5090
132	779	5081
133	781	5053
134	785	5034
135	790	5022
136	792	4991
137	797	4979
138	803	4976
139	810	4980
140	817	4980
141	825	4985
142	830	4976
143	838	4985
144	841	4963
145	845	4947
146	850	4936
147	856	4928
148	858	4904
149	860	4878
150	863	4857
151	869	4852
152	876	4850
153	883	4852
154	884	4822
155	889	4813
156	893	4799
157	896	4778
158	898	4754
159	900	4725
160	902	4703
161	904	4676
162	906	4652
163	908	4633
164	913	4622
165	914	4595
166	917	4574
167	920	4558
168	923	4539
169	926	4523
170	928	4502
171	929	4476
172	931	4451
173	935	4441
174	944	4452
175	947	4438
176	949	4414
177	951	4394
178	955	4381
179	958	4365
180	960	4345
181	963	4331
182	967	4318
183	969	4298
184	972	4284
185	975	4270
186	978	4256
187	980	42318188	982	42118189	984	419190	987	4180
191	988	4160
19192	991	414193	992	4124
194	995	4109
19195	1000	41196	1001	4082
197	1003	4065
198	1004	4044
199199	1008	40200200	1011	40201201	1015	4013
202	1019	4004
203	1024	3995
204	1027	3983
205	1030	3970
206	1032	3955
207	1033	3936
208	1038	3929
209	1040	3915
210	1042	3899
211	1045	3885
212	1048	3873
213	1049	3855
214	1052	3844
215	1055	3830
216	1058	3819
217	1063	3814
218	1065	3798
219	1067	3784
220	1070	3772
221	1073	3761
222	1076	3750
223	1080	3743
224	1085	3737
225	1087	3725
226	1091	3715
227	1092	3700
228	1095	3687
229	1101	3687
230	1105	3678
231	1108	3670
232	1112	3661
233	1114	3648
234	1117	3637
235	1120	3628
236	1123	3617
237	1127	3608
238	1130	3599
239	1132	3587
240	1134	3571
241	1136	3559
242	1138	3546
243	1142	3540
244	1144	3526
245	1148	3520
246	1153	3517
247	1156	3505
248	1158	3493
249	1160	3482
250	1165	3478
251	1166	3463
252	1170	3454
253	1175	3452
254	1178	3442
255	1183	3438
256	1185	3427
257	1187	3415
258	1190	3405
259	1193	3395
260	1196	3387
261	1202	3386
262	1204	3374
263	1226	3418
264	1231	3414
265	1236	3412
266	1243	3414
267	1247	3408
268	1250	3397
269	1255	3394
270	1258	3384
271	1259	3370
272	1263	3363
273	1266	3354
274	1269	3345
275	1271	3336
276	1273	3324
277	1277	3318
278	1282	3313
279	1287	3309
280	1290	3302
281	1294	3295
282	1298	3289
283	1306	3293
284	1312	3292
285	1313	3279
286	1318	3275
287	1322	3270
288	1326	3263
289	1330	3256
290	1336	3256
291	1340	3250
